symbol,net_profitability_results_error_message,simulation_results_error_message,simulation_results_decision_outcome
ETC/USDT,V2: ETC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ETC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BCH/USDT,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BCH/USDT,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
LTC/USDT,V2: LTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: LTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BCH/USDT,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ETC/USDT,V2: ETC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ETC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BCH/USDT,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BTC/USDT,V2: BTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BCH/USDT,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ETH/USDT,V2: ETH/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ETH/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ASD/USDT,V2: ASD/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ASD/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BCH/USDT,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BTC/USDT,V2: BTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ASD/USDT,V2: ASD/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ASD/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BCH/USDT,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ASD/USDT,V2: ASD/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ASD/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BTC/USDT,V2: BTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BCH/USDT,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ONT/USDT,V2: ONT/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ONT/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
NEO/USDT,V2: NEO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: NEO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
LTO/USDT,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ETC/USDT,V2: ETC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ETC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BTC/USDT,V2: BTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
NEO/USDT,V2: NEO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: NEO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
LTO/USDT,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ONT/USDT,V2: ONT/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ONT/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
LTC/USDT,V2: LTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: LTC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
NEO/USDT,V2: NEO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: NEO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ZEC/USDT,V2: ZEC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ZEC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
LTO/USDT,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ETC/USDT,V2: ETC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ETC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ZEC/USDT,V2: ZEC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ZEC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
NEO/USDT,V2: NEO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: NEO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
LTO/USDT,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: LTO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ETC/USDT,V2: ETC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ETC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
